from,to,relation,source
Southern,Sellner,14,4
Southern,Camus,14,4
Southern,Pettibone,14,4
Southern,Kerbl,14,4
Thaler,1P,14,4
Thaler,VerlagA,14,4
Thaler,IBDE,14,4
Thaler,Sellner,14,4
Thaler,VerlagJE,14,4
Thaler,Gerber,14,4
Thaler,Southern,14,4
Thaler,Kerbl,14,4
Malenki,DT,14,4
Malenki,1P,14,4
Malenki,IBDE,14,4
Malenki,Sellner,14,4
Malenki,VerlagJE,14,4
Malenki,Southern,14,4
Malenki,Kerbl,14,4
Camus,IBDE,14,4
Camus,Sellner,14,4
Camus,Southern,14,4
Lichtmesz,DT,14,4
Lichtmesz,AHA,14,4
Lichtmesz,1P,14,4
Lichtmesz,VerlagA,14,4
Lichtmesz,IBDE,14,4
Lichtmesz,IBS,14,4
Lichtmesz,AFD,14,4
Lichtmesz,Sellner,14,4
Lichtmesz,Storch,14,4
Lichtmesz,ASVerlag,14,4
Lichtmesz,VerlagJE,14,4
Lichtmesz,Camus,14,4
Lichtmesz,Gerber,14,4
Lichtmesz,Schunke,14,4
Lichtmesz,Pettibone,14,4
Lichtmesz,Southern,14,4
Lichtmesz,Kerbl,14,4
Lichtmesz,Meuthen,14,4
Storch,AFD,14,4
Storch,Schunke,14,4
Storch,Hoffgaard,14,4
Storch,Meuthen,14,4
SteinB,DT,14,4
SteinB,1P,14,4
SteinB,VerlagA,14,4
SteinB,IBDE,14,4
SteinB,Sellner,14,4
SteinB,VerlagJE,14,4
SteinB,Gerber,14,4
SteinB,Hoffgaard,14,4
Hoffgaard,IBDE,14,4
Hoffgaard,AFD,14,4
Hoffgaard,Sellner,14,4
Hoffgaard,Storch,14,4
Hoffgaard,Meuthen,14,4
Fiss,1P,14,4
Fiss,VerlagA,14,4
Fiss,IBDE,14,4
Fiss,IBS,14,4
Fiss,Sellner,14,4
Fiss,ASVerlag,14,4
Fiss,Hoffgaard,14,4
Fiss,Southern,14,4
Weiss,DT,14,4
Weiss,1P,14,4
Weiss,VerlagA,14,4
Weiss,IBDE,14,4
Weiss,AFD,14,4
Weiss,Sellner,14,4
Weiss,ASVerlag,14,4
Weiss,VerlagJE,14,4
Weiss,Gerber,14,4
Weiss,Schunke,14,4
Weiss,Pettibone,14,4
Weiss,Southern,14,4
Weiss,Kerbl,14,4
Sellner,DT,14,4
Sellner,AHA,14,4
Sellner,1P,14,4
Sellner,VerlagA,14,4
Sellner,IBDE,14,4
Sellner,IBS,14,4
Sellner,AFD,14,4
Sellner,Storch,14,4
Sellner,ASVerlag,14,4
Sellner,VerlagJE,14,4
Sellner,Camus,14,4
Sellner,Gerber,14,4
Sellner,Schunke,14,4
Sellner,Hoffgaard,14,4
Sellner,Pettibone,14,4
Sellner,Southern,14,4
Sellner,Kerbl,14,4
Sellner,Meuthen,14,4
Meuthen,AFD,14,4
Meuthen,Storch,14,4
Meuthen,Hoffgaard,14,4
Wegner,ASVerlag,14,4
Wegner,VerlagJE,14,4
Kaiser,DT,14,4
Kaiser,AHA,14,4
Kaiser,1P,14,4
Kaiser,VerlagA,14,4
Kaiser,AFD,14,4
Kaiser,Sellner,14,4
Kaiser,ASVerlag,14,4
Kaiser,VerlagJE,14,4
Kaiser,Kerbl,14,4
Alderson,1P,14,4
Alderson,VerlagA,14,4
Alderson,IBDE,14,4
Alderson,IBS,14,4
Alderson,AFD,14,4
Alderson,Sellner,14,4
Alderson,VerlagJE,14,4
Alderson,Gerber,14,4
Alderson,Pettibone,14,4
Alderson,Southern,14,4
Alderson,Kerbl,14,4
Kerbl,DT,14,4
Kerbl,1P,14,4
Kerbl,VerlagA,14,4
Kerbl,IBDE,14,4
Kerbl,Sellner,14,4
Kerbl,Storch,14,4
Kerbl,ASVerlag,14,4
Kerbl,VerlagJE,14,4
Kerbl,Camus,14,4
Kerbl,Gerber,14,4
Kerbl,Schunke,14,4
Kerbl,Pettibone,14,4
Kerbl,Southern,14,4
Kerbl,Meuthen,14,4
Schunke,AFD,14,4
Schunke,Sellner,14,4
Schunke,Storch,14,4
Schunke,Hoffgaard,14,4
Schunke,Meuthen,14,4
Gerber,VerlagJE,14,4
Gerber,Schunke,14,4
Gerber,Kerbl,14,4
