from,to,relation,source
Winterfeldt,SteinB,14,4
Southern,IBDE,14,4
Southern,AFD,14,4
Southern,Sellner,14,4
Southern,Camus,14,4
Southern,Pettibone,14,4
Southern,Kerbl,14,4
Southern,DE,14,4
Southern,Lenart,14,4
Thaler,1P,14,4
Thaler,VerlagA,14,4
Thaler,IBDE,14,4
Thaler,Sellner,14,4
Thaler,VerlagJE,14,4
Thaler,Gerber,14,4
Thaler,Southern,14,4
Thaler,Kerbl,14,4
Thaler,LG,14,4
Thaler,PE,14,4
Thaler,CP,14,4
Thaler,Huemer,14,4
Thaler,Kaiser,14,4
Thaler,Wegner,14,4
Thaler,Lenart,14,4
Thaler,Markovics,14,4
Thaler,Weiss,14,4
Thaler,Fiss,14,4
Thaler,Rudolph,14,4
Thaler,Malenki,14,4
Thaler,Lichtmesz,14,4
Thaler,SteinB,14,4
Malenki,DT,14,4
Malenki,1P,14,4
Malenki,IBDE,14,4
Malenki,Sellner,14,4
Malenki,VerlagJE,14,4
Malenki,Southern,14,4
Malenki,Kerbl,14,4
Malenki,LG,14,4
Malenki,SZSDE,14,4
Malenki,PE,14,4
Malenki,EK,14,4
Malenki,Huemer,14,4
Malenki,Quinn,14,4
Malenki,Lenart,14,4
Malenki,Markovics,14,4
Malenki,Fiss,14,4
Malenki,Winterfeldt,14,4
Malenki,Thaler,14,4
Malenki,SteinB,14,4
Camus,IBDE,14,4
Camus,Sellner,14,4
Camus,Southern,14,4
Camus,GI,14,4
Camus,Lichtmesz,14,4
Lichtmesz,DT,14,4
Lichtmesz,AHA,14,4
Lichtmesz,1P,14,4
Lichtmesz,VerlagA,14,4
Lichtmesz,IBDE,14,4
Lichtmesz,IBS,14,4
Lichtmesz,AFD,14,4
Lichtmesz,Sellner,14,4
Lichtmesz,Storch,14,4
Lichtmesz,ASVerlag,14,4
Lichtmesz,VerlagJE,14,4
Lichtmesz,Camus,14,4
Lichtmesz,Gerber,14,4
Lichtmesz,Schunke,14,4
Lichtmesz,Pettibone,14,4
Lichtmesz,Southern,14,4
Lichtmesz,Kerbl,14,4
Lichtmesz,Meuthen,14,4
Lichtmesz,LG,14,4
Lichtmesz,DLF,14,4
Lichtmesz,PP,14,4
Lichtmesz,SZSDE,14,4
Lichtmesz,PE,14,4
Lichtmesz,JF,14,4
Lichtmesz,120D,14,4
Lichtmesz,DE,14,4
Lichtmesz,KR,14,4
Lichtmesz,CP,14,4
Lichtmesz,Huemer,14,4
Lichtmesz,Kaiser,14,4
Lichtmesz,Wegner,14,4
Lichtmesz,Quinn,14,4
Lichtmesz,Engeser,14,4
Lichtmesz,Berit,14,4
Lichtmesz,Lenart,14,4
Lichtmesz,Hintsteiner,14,4
Lichtmesz,Weiss,14,4
Lichtmesz,Fiss,14,4
Lichtmesz,Rudolph,14,4
Lichtmesz,Winterfeldt,14,4
Lichtmesz,Thaler,14,4
Lichtmesz,Malenki,14,4
Lichtmesz,SteinB,14,4
Storch,AFD,14,4
Storch,Schunke,14,4
Storch,Hoffgaard,14,4
Storch,Meuthen,14,4
Storch,JF,14,4
SteinB,DT,14,4
SteinB,1P,14,4
SteinB,VerlagA,14,4
SteinB,IBDE,14,4
SteinB,Sellner,14,4
SteinB,VerlagJE,14,4
SteinB,Gerber,14,4
SteinB,Hoffgaard,14,4
SteinB,LG,14,4
SteinB,SZSDE,14,4
SteinB,PE,14,4
SteinB,EK,14,4
SteinB,CP,14,4
SteinB,Huemer,14,4
SteinB,Kaiser,14,4
SteinB,Wegner,14,4
SteinB,Quinn,14,4
SteinB,Engeser,14,4
SteinB,Lenart,14,4
SteinB,Hintsteiner,14,4
SteinB,Markovics,14,4
SteinB,Weiss,14,4
SteinB,Fiss,14,4
SteinB,Rudolph,14,4
SteinB,Thaler,14,4
SteinB,Malenki,14,4
SteinB,Lichtmesz,14,4
Hoffgaard,IBDE,14,4
Hoffgaard,AFD,14,4
Hoffgaard,Sellner,14,4
Hoffgaard,Storch,14,4
Hoffgaard,Meuthen,14,4
Hoffgaard,JF,14,4
Fiss,1P,14,4
Fiss,VerlagA,14,4
Fiss,IBDE,14,4
Fiss,IBS,14,4
Fiss,Sellner,14,4
Fiss,ASVerlag,14,4
Fiss,Hoffgaard,14,4
Fiss,Southern,14,4
Fiss,SZSDE,14,4
Fiss,JF,14,4
Fiss,OM,14,4
Fiss,Huemer,14,4
Fiss,Lenart,14,4
Fiss,Hintsteiner,14,4
Fiss,Markovics,14,4
Fiss,Weiss,14,4
Fiss,Winterfeldt,14,4
Fiss,SteinB,14,4
Weiss,DT,14,4
Weiss,1P,14,4
Weiss,VerlagA,14,4
Weiss,IBDE,14,4
Weiss,AFD,14,4
Weiss,Sellner,14,4
Weiss,ASVerlag,14,4
Weiss,VerlagJE,14,4
Weiss,Gerber,14,4
Weiss,Schunke,14,4
Weiss,Pettibone,14,4
Weiss,Southern,14,4
Weiss,Kerbl,14,4
Weiss,LG,14,4
Weiss,DLF,14,4
Weiss,SZSDE,14,4
Weiss,PE,14,4
Weiss,JF,14,4
Weiss,120D,14,4
Weiss,DE,14,4
Weiss,GI,14,4
Weiss,EK,14,4
Weiss,Huemer,14,4
Weiss,Kaiser,14,4
Weiss,Wegner,14,4
Weiss,Quinn,14,4
Weiss,Engeser,14,4
Weiss,Berit,14,4
Weiss,Lenart,14,4
Weiss,Hintsteiner,14,4
Weiss,Markovics,14,4
Weiss,Fiss,14,4
Weiss,Rudolph,14,4
Weiss,Winterfeldt,14,4
Weiss,Thaler,14,4
Weiss,Malenki,14,4
Weiss,Lichtmesz,14,4
Weiss,SteinB,14,4
Sellner,DT,14,4
Sellner,AHA,14,4
Sellner,1P,14,4
Sellner,VerlagA,14,4
Sellner,IBDE,14,4
Sellner,IBS,14,4
Sellner,AFD,14,4
Sellner,Storch,14,4
Sellner,ASVerlag,14,4
Sellner,VerlagJE,14,4
Sellner,Camus,14,4
Sellner,Gerber,14,4
Sellner,Schunke,14,4
